id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
wk1R0R2atEs9w4jgeibWqg,rice-n-roll-pacifica,Rice N Roll,https://s3-media2.fl.yelpcdn.com/bphoto/cxGqmYmRvExL5A7Z1fW6HQ/o.jpg,False,https://www.yelp.com/biz/rice-n-roll-pacifica?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,692,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",3.5,"{'latitude': 37.6460435, 'longitude': -122.4716853}","['delivery', 'pickup']",$$,"{'address1': '683 Manor Dr', 'address2': None, 'address3': '', 'city': 'Pacifica', 'zip_code': '94044', 'country': 'US', 'state': 'CA', 'display_address': ['683 Manor Dr', 'Pacifica, CA 94044']}",+16507380218,(650) 738-0218,4401.963227958758
lgD2BDiMtW3UhM6rk3IUNw,chicken-as-cluck-san-francisco,Chicken as Cluck,https://s3-media2.fl.yelpcdn.com/bphoto/lzHGEUlhlRCxWJD7LacVEg/o.jpg,False,https://www.yelp.com/biz/chicken-as-cluck-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,66,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}, {'alias': 'catering', 'title': 'Caterers'}]",4.5,"{'latitude': 37.750541, 'longitude': -122.395028}","['delivery', 'pickup']",$$,"{'address1': '1760 Cesar Chavez St', 'address2': None, 'address3': None, 'city': 'San Francisco', 'zip_code': '94124', 'country': 'US', 'state': 'CA', 'display_address': ['1760 Cesar Chavez St', 'San Francisco, CA 94124']}",+14156700428,(415) 670-0428,9575.287978289618
4vt88GERVAr4ODzaXpSnoQ,luigis-pacifica,Luigi's,https://s3-media4.fl.yelpcdn.com/bphoto/-OXVUaszc8FmQydg1Xwhhg/o.jpg,False,https://www.yelp.com/biz/luigis-pacifica?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,318,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 37.58894, 'longitude': -122.49434}",[],$$,"{'address1': '950 Linda Mar Blvd', 'address2': '', 'address3': '', 'city': 'Pacifica', 'zip_code': '94044', 'country': 'US', 'state': 'CA', 'display_address': ['950 Linda Mar Blvd', 'Pacifica, CA 94044']}",+16503550944,(650) 355-0944,11003.91384931629
zeAyrFZhpT2WUH6S92bmBA,totos-pizzeria-san-bruno,Toto's Pizzeria,https://s3-media4.fl.yelpcdn.com/bphoto/Gim5G0HGNz4sgPMijouJnQ/o.jpg,False,https://www.yelp.com/biz/totos-pizzeria-san-bruno?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,897,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 37.61385, 'longitude': -122.40434}",['delivery'],$$,"{'address1': '1690 El Camino Real', 'address2': '', 'address3': '', 'city': 'San Bruno', 'zip_code': '94066', 'country': 'US', 'state': 'CA', 'display_address': ['1690 El Camino Real', 'San Bruno, CA 94066']}",+16508738686,(650) 873-8686,9643.94748310649
5VdBW-nXKmZS1E6Dh5uMdQ,seniores-pizza-san-bruno-4,Seniore's Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/r7M5LEWQVKxJ9qb7A0mScg/o.jpg,False,https://www.yelp.com/biz/seniores-pizza-san-bruno-4?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,317,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'latitude': 37.627449, 'longitude': -122.416373}","['delivery', 'pickup']",$$,"{'address1': '730 Kains Ave', 'address2': '', 'address3': '', 'city': 'San Bruno', 'zip_code': '94066', 'country': 'US', 'state': 'CA', 'display_address': ['730 Kains Ave', 'San Bruno, CA 94066']}",+16509524100,(650) 952-4100,7804.4556257653485
GwbM9M3c_ZlFSDo7WTGeag,wingstop-millbrae,Wingstop,https://s3-media2.fl.yelpcdn.com/bphoto/bvWzlj3Yv6WeNOwKBpFLwQ/o.jpg,False,https://www.yelp.com/biz/wingstop-millbrae?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,121,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",3.5,"{'latitude': 37.606233315112, 'longitude': -122.398032626158}",[],$$,"{'address1': '1085 El Camino Real', 'address2': '', 'address3': '', 'city': 'Millbrae', 'zip_code': '94030', 'country': 'US', 'state': 'CA', 'display_address': ['1085 El Camino Real', 'Millbrae, CA 94030']}",+16506973300,(650) 697-3300,10663.597501767832
8kck3-K4zYKTJbJko0JlXQ,farmhouse-kitchen-thai-cuisine-san-francisco,Farmhouse Kitchen Thai Cuisine,https://s3-media1.fl.yelpcdn.com/bphoto/woO06sua7uMQNBf0wnjf8w/o.jpg,False,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,2422,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.0,"{'latitude': 37.76026094, 'longitude': -122.4112048}","['delivery', 'restaurant_reservation', 'pickup']",$$,"{'address1': '710 Florida St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['710 Florida St', 'San Francisco, CA 94110']}",+14158142920,(415) 814-2920,9628.811714995745
oU5xNeRZ6jqgiTx9m7j0FQ,oasis-vietnamese-cuisine-pacifica-2,Oasis Vietnamese Cuisine,https://s3-media4.fl.yelpcdn.com/bphoto/VNLZSKZEg8OnDi4vzl4L7w/o.jpg,False,https://www.yelp.com/biz/oasis-vietnamese-cuisine-pacifica-2?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,139,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 37.6473193915376, 'longitude': -122.490082941949}",['delivery'],,"{'address1': '549 Oceana Blvd', 'address2': 'Ste B', 'address3': None, 'city': 'Pacifica', 'zip_code': '94044', 'country': 'US', 'state': 'CA', 'display_address': ['549 Oceana Blvd', 'Ste B', 'Pacifica, CA 94044']}",+16508988269,(650) 898-8269,4726.853027801086
ItRA_StAZd9xxrQCozhW3A,jollibee-daly-city,Jollibee,https://s3-media1.fl.yelpcdn.com/bphoto/UgsPAlG7jcGYxQv8Q-2XMA/o.jpg,False,https://www.yelp.com/biz/jollibee-daly-city?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,568,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",2.5,"{'latitude': 37.697202624245, 'longitude': -122.46391843741}",['delivery'],$,"{'address1': '6955 Mission St', 'address2': '', 'address3': '', 'city': 'Daly City', 'zip_code': '94014', 'country': 'US', 'state': 'CA', 'display_address': ['6955 Mission St', 'Daly City, CA 94014']}",+16507554848,(650) 755-4848,1324.9226242814439
zHo0wp9hVdAj-AuZVjbD4Q,krispy-krunchy-chicken-daly-city,Krispy Krunchy Chicken,https://s3-media3.fl.yelpcdn.com/bphoto/SgAthVrNiKGV50OQMUkcTw/o.jpg,False,https://www.yelp.com/biz/krispy-krunchy-chicken-daly-city?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,102,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.0,"{'latitude': 37.68315, 'longitude': -122.48991}",[],$$,"{'address1': '505 Skyline Dr', 'address2': '', 'address3': None, 'city': 'Daly City', 'zip_code': '94015', 'country': 'US', 'state': 'CA', 'display_address': ['505 Skyline Dr', 'Daly City, CA 94015']}",+16509922500,(650) 992-2500,2089.3049926290464
9AczSWX37-qY3MYHHtJVtQ,davids-bagels-pacifica,David's Bagels,https://s3-media2.fl.yelpcdn.com/bphoto/JwG1D-npZvEDTKV_aFHufA/o.jpg,False,https://www.yelp.com/biz/davids-bagels-pacifica?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,31,"[{'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}]",5.0,"{'latitude': 37.6356048583984, 'longitude': -122.489135742188}",[],$,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Pacifica', 'zip_code': '94044', 'country': 'US', 'state': 'CA', 'display_address': ['Pacifica, CA 94044']}",+14158472294,(415) 847-2294,8463.946595813899
lXMdrPSUmA9HfoHosOvzbQ,mamahuhu-san-francisco-2,Mamahuhu,https://s3-media1.fl.yelpcdn.com/bphoto/8qwUPVv7sIUxikiquLbeQw/o.jpg,False,https://www.yelp.com/biz/mamahuhu-san-francisco-2?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,54,"[{'alias': 'chinese', 'title': 'Chinese'}]",4.0,"{'latitude': 37.78267, 'longitude': -122.46493}",[],,"{'address1': '517 Clement St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94118', 'country': 'US', 'state': 'CA', 'display_address': ['517 Clement St', 'San Francisco, CA 94118']}",+14157424958,(415) 742-4958,10815.011786532648
vOkiTLs9MVLx6_jtIjT-GA,zorbas-pizza-millbrae,Zorba's Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/wrIGM03CgOTVy7mzxJgm1A/o.jpg,False,https://www.yelp.com/biz/zorbas-pizza-millbrae?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,510,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 37.61148, 'longitude': -122.40303}","['delivery', 'pickup']",$$,"{'address1': '1567 El Camino Real', 'address2': '', 'address3': '', 'city': 'Millbrae', 'zip_code': '94030', 'country': 'US', 'state': 'CA', 'display_address': ['1567 El Camino Real', 'Millbrae, CA 94030']}",+16508751616,(650) 875-1616,9932.369604896572
7DhNUWPZqt43Y0975s8RSw,hanato-ramen-daly-city-2,Hanato Ramen,https://s3-media2.fl.yelpcdn.com/bphoto/9pxd0yfV6zmpfZhE_6N9ug/o.jpg,False,https://www.yelp.com/biz/hanato-ramen-daly-city-2?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,41,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'chinese', 'title': 'Chinese'}]",4.5,"{'latitude': 37.699218, 'longitude': -122.463676}",['delivery'],$,"{'address1': '6811 Mission St', 'address2': '', 'address3': None, 'city': 'Daly City', 'zip_code': '94014', 'country': 'US', 'state': 'CA', 'display_address': ['6811 Mission St', 'Daly City, CA 94014']}",+14153477281,(415) 347-7281,1547.152760578578
UOForEkDjUF4tTB1ZBL5MA,burger-board-pacifica-2,Burger-Board,https://s3-media4.fl.yelpcdn.com/bphoto/36LsujvUSEvQDy1OhJCc0g/o.jpg,False,https://www.yelp.com/biz/burger-board-pacifica-2?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,81,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",3.5,"{'latitude': 37.5950627396878, 'longitude': -122.506073266268}",[],$$,"{'address1': '5430 CA-1', 'address2': '', 'address3': None, 'city': 'Pacifica', 'zip_code': '94044', 'country': 'US', 'state': 'CA', 'display_address': ['5430 CA-1', 'Pacifica, CA 94044']}",+16507359900,(650) 735-9900,10641.666873923406
EtvpRSw6cZzJt7AzpfJj8g,harbor-pizza-el-granada,Harbor Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/RTw1z5bhWZLXNWQZTGnHYA/o.jpg,False,https://www.yelp.com/biz/harbor-pizza-el-granada?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,73,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 37.50557, 'longitude': -122.48018}",[],$$,"{'address1': '65 Alhambra Ave', 'address2': '', 'address3': '', 'city': 'El Granada', 'zip_code': '94018', 'country': 'US', 'state': 'CA', 'display_address': ['65 Alhambra Ave', 'El Granada, CA 94018']}",+16507263501,(650) 726-3501,20031.458052425398
