id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
8kck3-K4zYKTJbJko0JlXQ,farmhouse-kitchen-thai-cuisine-san-francisco,Farmhouse Kitchen Thai Cuisine,https://s3-media1.fl.yelpcdn.com/bphoto/woO06sua7uMQNBf0wnjf8w/o.jpg,False,https://www.yelp.com/biz/farmhouse-kitchen-thai-cuisine-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,2422,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.0,"{'latitude': 37.76026094, 'longitude': -122.4112048}","['pickup', 'restaurant_reservation', 'delivery']",$$,"{'address1': '710 Florida St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94110', 'country': 'US', 'state': 'CA', 'display_address': ['710 Florida St', 'San Francisco, CA 94110']}",+14158142920,(415) 814-2920,13304.40611106803
lgD2BDiMtW3UhM6rk3IUNw,chicken-as-cluck-san-francisco,Chicken as Cluck,https://s3-media2.fl.yelpcdn.com/bphoto/lzHGEUlhlRCxWJD7LacVEg/o.jpg,False,https://www.yelp.com/biz/chicken-as-cluck-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,66,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}, {'alias': 'catering', 'title': 'Caterers'}]",4.5,"{'latitude': 37.750541, 'longitude': -122.395028}","['pickup', 'delivery']",$$,"{'address1': '1760 Cesar Chavez St', 'address2': None, 'address3': None, 'city': 'San Francisco', 'zip_code': '94124', 'country': 'US', 'state': 'CA', 'display_address': ['1760 Cesar Chavez St', 'San Francisco, CA 94124']}",+14156700428,(415) 670-0428,11737.38359645322
ObxYfb71k4YZO4JB9XUuVw,big-belly-deli-south-san-francisco,Big Belly Deli,https://s3-media3.fl.yelpcdn.com/bphoto/RU_PCwepKUox5tHY80egNw/o.jpg,False,https://www.yelp.com/biz/big-belly-deli-south-san-francisco?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,462,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'delis', 'title': 'Delis'}]",4.5,"{'latitude': 37.6546293793785, 'longitude': -122.408526959454}","['pickup', 'delivery']",$$,"{'address1': '115 Grand Ave', 'address2': '', 'address3': '', 'city': 'South San Francisco', 'zip_code': '94080', 'country': 'US', 'state': 'CA', 'display_address': ['115 Grand Ave', 'South San Francisco, CA 94080']}",+16505885695,(650) 588-5695,5468.001873274601
ItRA_StAZd9xxrQCozhW3A,jollibee-daly-city,Jollibee,https://s3-media1.fl.yelpcdn.com/bphoto/UgsPAlG7jcGYxQv8Q-2XMA/o.jpg,False,https://www.yelp.com/biz/jollibee-daly-city?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,568,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",2.5,"{'latitude': 37.697202624245, 'longitude': -122.46391843741}",['delivery'],$,"{'address1': '6955 Mission St', 'address2': '', 'address3': '', 'city': 'Daly City', 'zip_code': '94014', 'country': 'US', 'state': 'CA', 'display_address': ['6955 Mission St', 'Daly City, CA 94014']}",+16507554848,(650) 755-4848,11486.119018941343
cIQu_DxZkmRA5gJNvrYoCA,yangon-burlingame-2,Yangon,https://s3-media2.fl.yelpcdn.com/bphoto/41sKlfnUHS6jfcB86fNcRg/o.jpg,False,https://www.yelp.com/biz/yangon-burlingame-2?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,214,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'burmese', 'title': 'Burmese'}]",4.5,"{'latitude': 37.58717, 'longitude': -122.36419}","['pickup', 'delivery']",$$,"{'address1': '1136 Broadway', 'address2': '', 'address3': '', 'city': 'Burlingame', 'zip_code': '94010', 'country': 'US', 'state': 'CA', 'display_address': ['1136 Broadway', 'Burlingame, CA 94010']}",+16503488848,(650) 348-8848,7390.090646255511
ru2orVI8tiNoYAPggtNHmw,siam-spoon-south-san-francisco-2,Siam Spoon,https://s3-media1.fl.yelpcdn.com/bphoto/DFScHtkt8wjDw0Agt4tKNA/o.jpg,False,https://www.yelp.com/biz/siam-spoon-south-san-francisco-2?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,426,"[{'alias': 'thai', 'title': 'Thai'}]",3.5,"{'latitude': 37.6566738961244, 'longitude': -122.409428634961}","['pickup', 'delivery']",$,"{'address1': '427 Linden Ave', 'address2': '', 'address3': '', 'city': 'South San Francisco', 'zip_code': '94080', 'country': 'US', 'state': 'CA', 'display_address': ['427 Linden Ave', 'South San Francisco, CA 94080']}",+16509898220,(650) 989-8220,5563.287736617627
zHo0wp9hVdAj-AuZVjbD4Q,krispy-krunchy-chicken-daly-city,Krispy Krunchy Chicken,https://s3-media3.fl.yelpcdn.com/bphoto/SgAthVrNiKGV50OQMUkcTw/o.jpg,False,https://www.yelp.com/biz/krispy-krunchy-chicken-daly-city?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,102,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.0,"{'latitude': 37.68315, 'longitude': -122.48991}",[],$$,"{'address1': '505 Skyline Dr', 'address2': '', 'address3': None, 'city': 'Daly City', 'zip_code': '94015', 'country': 'US', 'state': 'CA', 'display_address': ['505 Skyline Dr', 'Daly City, CA 94015']}",+16509922500,(650) 992-2500,13085.036977102893
bTkqsphmEuYd8Ck7vovRkQ,bangkok-patio-san-mateo,Bangkok Patio,https://s3-media3.fl.yelpcdn.com/bphoto/dGkWAzpVXjK1PHALcWQEsQ/o.jpg,False,https://www.yelp.com/biz/bangkok-patio-san-mateo?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,812,"[{'alias': 'thai', 'title': 'Thai'}]",4.0,"{'latitude': 37.56767, 'longitude': -122.31972}","['pickup', 'delivery']",$$,"{'address1': '615 E 3rd Ave', 'address2': 'Ste D', 'address3': '', 'city': 'San Mateo', 'zip_code': '94401', 'country': 'US', 'state': 'CA', 'display_address': ['615 E 3rd Ave', 'Ste D', 'San Mateo, CA 94401']}",+16505485489,(650) 548-5489,9695.950795033616
wk1R0R2atEs9w4jgeibWqg,rice-n-roll-pacifica,Rice N Roll,https://s3-media2.fl.yelpcdn.com/bphoto/cxGqmYmRvExL5A7Z1fW6HQ/o.jpg,False,https://www.yelp.com/biz/rice-n-roll-pacifica?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,692,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",3.5,"{'latitude': 37.6460435, 'longitude': -122.4716853}","['pickup', 'delivery']",$$,"{'address1': '683 Manor Dr', 'address2': None, 'address3': '', 'city': 'Pacifica', 'zip_code': '94044', 'country': 'US', 'state': 'CA', 'display_address': ['683 Manor Dr', 'Pacifica, CA 94044']}",+16507380218,(650) 738-0218,11057.550219225932
vOkiTLs9MVLx6_jtIjT-GA,zorbas-pizza-millbrae,Zorba's Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/wrIGM03CgOTVy7mzxJgm1A/o.jpg,False,https://www.yelp.com/biz/zorbas-pizza-millbrae?adjust_creative=pcYg-P8c8BaI_ztBwaTGmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pcYg-P8c8BaI_ztBwaTGmw,510,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.0,"{'latitude': 37.61148, 'longitude': -122.40303}","['pickup', 'delivery']",$$,"{'address1': '1567 El Camino Real', 'address2': '', 'address3': '', 'city': 'Millbrae', 'zip_code': '94030', 'country': 'US', 'state': 'CA', 'display_address': ['1567 El Camino Real', 'Millbrae, CA 94030']}",+16508751616,(650) 875-1616,6722.6882577715905
